fp_bits,model,ROC-AUC (mean),ROC-AUC (std),PRC-AUC (mean),PRC-AUC (std),Average Precision (mean),Average Precision (std),Accuracy (mean),Accuracy (std),F1 Score (mean),F1 Score (std),MCC (mean),MCC (std),Recall (mean),Recall (std),Precision (mean),Precision (std),False Positive Rate (mean),False Positive Rate (std),inner_cv_mean (mean),inner_cv_mean (std),fit_secs (mean),fit_secs (std)
1024,Decision Tree,0.8386090991398822,0.028910977382800736,0.6982297776508638,0.07500363100009665,0.6774632646230916,0.0578077206500236,0.8070921985815603,0.022511447160431044,0.7155597076587418,0.04182880018166534,0.5710832756530715,0.05777447267023565,0.7319148936170212,0.06992202861768078,0.7017396271717079,0.025804397074066492,0.15531914893617021,0.016987999385820546,0.6664172087835483,0.011705931945926486,0.29416837692260744,0.010859700503012618
1024,KNN,0.7430228610230873,0.04088434228386394,0.6121249742612109,0.031196989005349087,0.5607745555145651,0.03404277274302314,0.7070921985815602,0.010216212972260965,0.3319934508211768,0.05984392586062664,0.2608289441585643,0.03517060155649745,0.22127659574468087,0.05445312294497757,0.6918229918229918,0.032510971599992076,0.05,0.015779145717224816,0.5619815554780991,0.011572735705477883,0.2699347972869873,0.0910973187923834
1024,Logistic Regression,0.8876584427342689,0.020711604288393658,0.7426126326775625,0.06212471916402854,0.7463024756023506,0.05986351629771013,0.8120567375886525,0.023253328100361688,0.7011783478976953,0.046467418767308324,0.5681715667645852,0.05681213999566325,0.6659574468085107,0.07238734398384676,0.7441781032206565,0.03259460159659138,0.11489361702127658,0.02275452088958238,0.7647149611556485,0.02084055212570946,2.597391891479492,3.111428775422505
1024,Random Forest,0.8948110004526935,0.020558687331742993,0.7218492480015832,0.0624683651978879,0.7272298196895173,0.059858895138498,0.7929078014184398,0.02962638095631972,0.6402739578082315,0.057152592529173304,0.5129384880717371,0.0738691002792716,0.5553191489361702,0.0653194954596117,0.7595627270824256,0.05926604497426416,0.08829787234042553,0.02483535644665692,0.8134771163006855,0.006036461851645969,1.6625524520874024,0.3415379195611215
1024,SVM,0.8809302851969217,0.018481528549020472,0.7009025324839319,0.05568354923043188,0.7062023331134185,0.05322805179370828,0.8021276595744681,0.022899126653848162,0.6733307531851802,0.04684190059281849,0.5399734425165714,0.056735236769017684,0.6148936170212765,0.06400684662336732,0.7478533526136696,0.042268471162936846,0.10425531914893618,0.023965702821423,0.7534583848805235,0.01272831060608968,21.383139991760252,0.5191095276670314
1024,XGBoost,0.9125282933454052,0.018227795366139627,0.7778654844962529,0.07630337514128509,0.7810400836447557,0.07421473040547748,0.8404255319148936,0.017372267679313314,0.754950930738192,0.026909406252835676,0.6385246178043559,0.039589754322235764,0.7382978723404255,0.048518103195708,0.7750870235734743,0.04064883146099531,0.10851063829787233,0.028545548648933484,0.8224527756477287,0.014865132890865107,2.480513572692871,1.3812173091815803
2048,Decision Tree,0.8492643730194658,0.0398773078914815,0.706665210811565,0.09713266458724959,0.6978864343224921,0.06989951401350898,0.8290780141843971,0.031056218504696902,0.7551307417901494,0.04271559639632204,0.6260035873632168,0.06628813465132062,0.7893617021276595,0.041475720616208384,0.724366257072805,0.04980953145792107,0.15106382978723404,0.03160308676066586,0.6406007544246931,0.04080466702916024,0.8269100666046143,0.07880399469085746
2048,KNN,0.7248924852874604,0.04388564927126608,0.578703282220573,0.02952675628691703,0.529139679133986,0.036885585691344897,0.6872340425531915,0.009515182882977837,0.23742676644901334,0.07173179013581016,0.1810869644890835,0.04681820656974435,0.14893617021276595,0.05211680303793995,0.6248148148148148,0.030642413024997095,0.043617021276595745,0.012699294027992896,0.5545749414817396,0.024137797626705433,0.33440794944763186,0.011120867028436945
2048,Logistic Regression,0.8835955183340879,0.01952222790739412,0.70667966600152,0.05019295416293164,0.7112731927662101,0.04855182625032108,0.801418439716312,0.029562645391016103,0.6742492003011815,0.05364192540314845,0.5383935271271492,0.07164215745050324,0.6191489361702127,0.06575122187388271,0.7421183020775401,0.04733133947551907,0.10744680851063829,0.02073786030810417,0.7459957364935518,0.009450751352410768,3.8826342582702638,0.6088645087173423
2048,Random Forest,0.8971140787686736,0.016092952928660594,0.7122789882690137,0.03695924576249718,0.7178883796653295,0.03508084019046301,0.7794326241134752,0.024619226890368485,0.5960320528941537,0.04997463020808993,0.47577286891398946,0.0634368122288204,0.48936170212765956,0.0493277579547644,0.7634398496240602,0.04967061292678691,0.07553191489361702,0.015689235323141093,0.8104464837148058,0.00958765256524993,2.190008115768433,0.18187836122719916
2048,SVM,0.8657650520597556,0.015315386751021095,0.6651543146535562,0.03356467583865877,0.671232062505777,0.032209982973271975,0.7687943262411348,0.03505081927135194,0.5865413268769204,0.0741200247950206,0.44961866614563617,0.0903755110867199,0.4957446808510639,0.07875215116307127,0.7219139823507585,0.06546885206726012,0.09468085106382979,0.02237838719996024,0.7111063362379458,0.004935213103338793,69.23223910331726,4.266744863953436
2048,XGBoost,0.9189112720688094,0.022298297668249874,0.7781800768142212,0.057840100394490786,0.7818119938835719,0.05638657013331083,0.8581560283687943,0.031116894990752247,0.7857299069159529,0.05226205732213717,0.680458941531262,0.07340882761790099,0.7851063829787235,0.07308750654177729,0.7877852827152554,0.03615141743903419,0.1053191489361702,0.017399390674251194,0.8279492247395531,0.014834779093387245,3.948647165298462,0.23361029860405855
4096,Decision Tree,0.8060377999094612,0.040354874030647706,0.707369163352225,0.05669820402884771,0.6385697004472213,0.08227299279117498,0.8063829787234041,0.03515828243388776,0.7054765765955505,0.061209579460271925,0.5627425611185399,0.0827038688783735,0.7,0.08150630344416152,0.7139392193827677,0.05082031467443693,0.14042553191489363,0.030694761800539386,0.626085483288796,0.02483376367018363,2.2968618869781494,0.16211142256742428
4096,KNN,0.7083974649162517,0.03371966553415798,0.569468597631479,0.05593518257932646,0.5097647858403962,0.050141518987490176,0.6964539007092199,0.02887404678840039,0.3040342000179185,0.13686192456248547,0.2228756108370021,0.10013452920160558,0.2106382978723404,0.10622328439460951,0.6495793650793651,0.1070840285291732,0.06063829787234043,0.04096090065569884,0.5348091801247048,0.01467276447597404,0.534449291229248,0.011639900973890605
4096,Logistic Regression,0.860547759167044,0.03163662518411451,0.6779467876334323,0.08745366978470234,0.6819733911526529,0.08580338379372493,0.7815602836879433,0.04433333276604818,0.642169015876713,0.0755531148201078,0.49102801048158495,0.1063047088057665,0.5893617021276596,0.07469570077251896,0.7056908624110164,0.07667661057152336,0.12234042553191489,0.030089650263257346,0.7355728436543898,0.01893824420578269,10.284764528274536,0.8365179953190905
4096,Random Forest,0.8849422815753734,0.03360138593872607,0.7020858736675125,0.07776955855601116,0.7057539690412217,0.07840075392274536,0.7524822695035461,0.03234540213047199,0.5301613655292737,0.05832930505171317,0.40582408784525226,0.08509612467143478,0.41914893617021276,0.05023710192816,0.7278888888888889,0.09557364169923796,0.08085106382978724,0.03692884033555272,0.812380433445645,0.017107525527842723,4.085648059844971,0.11859413108648771
4096,SVM,0.8369341330918967,0.032905760383423924,0.6605818026210257,0.09353934944439637,0.6645292233345961,0.09214922072120776,0.7510638297872341,0.049225682815983,0.5688390939698588,0.0992094104815671,0.4081635794560244,0.12637468343446429,0.49787234042553197,0.10214982029070473,0.6655317948361051,0.08870933419343452,0.12234042553191489,0.024949019999060792,0.6989366551256728,0.01928228582975515,156.04971446990967,4.9472684414606585
4096,XGBoost,0.9124886826618379,0.03402656223765092,0.7841734064655583,0.08943740917849455,0.785327079550347,0.08853011743492549,0.849645390070922,0.03774555770421327,0.7733069419658875,0.05487842050647986,0.6614917403382059,0.08317074778360475,0.7680851063829788,0.05445312294497758,0.7797933906791479,0.06406642421431885,0.10957446808510637,0.03658244439159447,0.8282777424576896,0.01653628321676246,7.899546146392822,0.3527647122706123
